GENSOR Unit  genes
AccB	accC//accB//
AcrR	marA//acrA//marB//soxS//acrB//acrR//soxR//marR//micF//
Ada	alkB//aidB//ada//alkA//
AdiY	gadC//gadB//gadX//adiA//gltD//gltF//gadA//gltB//
AgaR	agaD//agaA//agaS//kbaZ//agaB//agaV//kbaY//agaI//agaW//agaC//agaR//
AidB	aidB//
AlaS	alaS//
AllR	gcl//ybbY//hyi//glxR//allS//glxK//allB//ybbW//allA//
AllS	allE//allC//allD//
AlsR	alsB//alsE//alsC//rpiR//alsA//rpiB//
AppY	hyaE//hyaD//hyaA//appB//hyaF//appX//hyaC//hyaB//appC//appA//
AraC	araD//xylB//araE//araB//araH//araJ//araC//ygeA//xylA//ydeN//araG//ydeM//araA//araF//
ArgP	recF//lysA//argO//yfaE//dnaA//gdhA//dnaN//lysC//lysP//dapD//nrdB//nrdA//argP//dapB//
ArgR	astD//argG//argH//artJ//artP//argE//gltD//rimP//carA//gltF//artI//rpsO//astC//hisM//argD//carB//argR//argI//astA//gltB//argB//hisP//infB//truB//pnp//nusA//astE//artQ//hisQ//rbfA//lysO//metY//argC//astB//argA//argF//artM//hisJ//
ArsR	arsB//arsR//arsC//
AscG	ybiT//htpG//ascF//prpR//ascB//
AsnC	asnC//asnA//mioC//mnmG//
AtoC	atoB//atoE//atoA//atoD//
BaeR	spy//baeR//baeS//acrD//mdtC//mdtB//mdtA//mdtD//
BasR	yrbL//fimB//csgF//dgkA//putA//qseB//hha//tomB//csgD//cspI//csgG//csgE//qseC//
BetI	betT//betB//betI//betA//
BirA	bioC//bioF//bioB//bioD//bioA//
BluR	ariR//ycgZ//ymgC//ymgA//
BolA	dacC//ampC//
CadC	cadC//cadB//cadA//
CaiF	fixB//fixX//fixC//caiA//caiC//caiE//fixA//caiB//caiD//caiT//
Cbl	ssuC//tauC//tauB//ssuD//tauA//ssuB//ssuE//ssuA//tauD//
CdaR	gudD//rnpB//garL//gudX//garK//cdaR//garR//gudP//garP//garD//
ChbR	chbA//chbG//chbR//chbB//chbF//chbC//
ComR	bhsA//
