NONOXIPENT-PWY	PROTEIN
Rpe	PROTEIN	RIBULP3EPIM-MONOMER
RpiA	PROTEIN	RIB5PISOMA-MONOMER
RpiB	PROTEIN	RIB5PISOMB-MONOMER
TalA	PROTEIN	TRANSALDOLA-MONOMER
TalB	PROTEIN	TRANSALDOLB-MONOMER
TktA	PROTEIN	TRANSKETOI-MONOMER
TktB	PROTEIN	TRANSKETOII-MONOMER
aldehydo-D-allose-6-P	SIMPLE_MOLECULE	D-ALLOSE-6-PHOSPHATE
allulose-6-P	SIMPLE_MOLECULE	D-ALLULOSE-6-PHOSPHATE
erythrose-4P	SIMPLE_MOLECULE	ERYTHROSE-4P
fructose-6-P	SIMPLE_MOLECULE	FRUCTOSE-6P
glyceraldehyde-P	SIMPLE_MOLECULE	GAP
ribose-5P	SIMPLE_MOLECULE	RIBOSE-5P
ribulose-5P	SIMPLE_MOLECULE	RIBULOSE-5P
sedoheptulose-7-P	SIMPLE_MOLECULE	D-SEDOHEPTULOSE-7-P
xylulose-P	SIMPLE_MOLECULE	XYLULOSE-5-PHOSPHATE
